cluster,gene
Differentiated_keratinocyte,SERPINB3
Differentiated_keratinocyte,KRT6B
Differentiated_keratinocyte,KRT6C
Differentiated_keratinocyte,MALL
Differentiated_keratinocyte,MGLL
Differentiated_keratinocyte,A2ML1
Differentiated_keratinocyte,SULT2B1
Differentiated_keratinocyte,C10orf99
Differentiated_keratinocyte,SERPINB13
Differentiated_keratinocyte,FAM3B
Differentiated_keratinocyte,CCDC64B
Differentiated_keratinocyte,SCEL
Differentiated_keratinocyte,DEGS2
Differentiated_keratinocyte,CXCL17
Differentiated_keratinocyte,SBSN
Differentiated_keratinocyte,IVL
Differentiated_keratinocyte,NUCB2
Differentiated_keratinocyte,CLIC3
Differentiated_keratinocyte,C9orf169
Differentiated_keratinocyte,SERPINB4
Differentiated_keratinocyte,LYNX1
Differentiated_keratinocyte,ALDH3B2
Differentiated_keratinocyte,TMEM40
Differentiated_keratinocyte,CES1
Differentiated_keratinocyte,MXD1
Differentiated_keratinocyte,GPX3
Differentiated_keratinocyte,GRHL1
Differentiated_keratinocyte,TMPRSS11BNL
Differentiated_keratinocyte,RAB11FIP1
Differentiated_keratinocyte,NAGK
Differentiated_keratinocyte,DYNLT3
Differentiated_keratinocyte,RRAD
Differentiated_keratinocyte,MBOAT2
Differentiated_keratinocyte,C2orf54
Differentiated_keratinocyte,GDPD3
Differentiated_keratinocyte,ASPG
Differentiated_keratinocyte,PRDM1
Differentiated_keratinocyte,TGM3
Differentiated_keratinocyte,PPIC
Differentiated_keratinocyte,PPL
Differentiated_keratinocyte,TGM1
Differentiated_keratinocyte,CALML5
Differentiated_keratinocyte,ZNF185
Differentiated_keratinocyte,TP53I3
Differentiated_keratinocyte,SPRR1B
Differentiated_keratinocyte,CES2
Differentiated_keratinocyte,ENDOU
Differentiated_keratinocyte,EVPL
Differentiated_keratinocyte,KLK13
Differentiated_keratinocyte,CDKN2B
Differentiated_keratinocyte,SMIM5
Differentiated_keratinocyte,TM7SF2
Differentiated_keratinocyte,CLCA4
Differentiated_keratinocyte,ANKRD22
Differentiated_keratinocyte,GRHL3
Differentiated_keratinocyte,ZNF750
Differentiated_keratinocyte,LY6G6C
Differentiated_keratinocyte,TMEM79
Differentiated_keratinocyte,SPRR2A
Differentiated_keratinocyte,HS3ST1
Differentiated_keratinocyte,BNIPL
Differentiated_keratinocyte,KLK12
Differentiated_keratinocyte,NUDT8
Differentiated_keratinocyte,PVRL4
Differentiated_keratinocyte,NMU
Differentiated_keratinocyte,FAM25A
Differentiated_keratinocyte,GIPC1
Differentiated_keratinocyte,MUC21
Differentiated_keratinocyte,DMKN
